Modulus,pressure,bias,flow,Cu,Al,Fe,Zr,V,Co,Ni,Nb,Ti,Cr,Mo,Mn,W,Ta,Hf,ave:thermal_conductivity,var:Polarizability,var:gs_energy
0.9977384805679321,0.014556179754436016,0.996411919593811,0.9968637824058533,0.1583404839038849,0.039739739149808884,0.15703184902668,0.0015147128142416477,0.0007327919011004269,0.0008569963974878192,0.15596958994865417,0.002082896651700139,0.0004984774277545512,0.15775534510612488,0.005518428049981594,0.15782365202903748,0.005584454629570246,0.0007096257759258151,0.15584103763103485,121.09873719641473,11.289393730765196,5.75542534272633
0.9966278076171875,0.017424408346414566,0.9967009425163269,0.9960055947303772,0.15729768574237823,0.044834304600954056,0.15773580968379974,0.0027227222453802824,0.0016803541220724583,0.0014514720533043146,0.15226534008979797,0.004907813388854265,0.000428178085712716,0.15705768764019012,0.0016153964679688215,0.15780635178089142,0.004396630916744471,0.0005451150937005877,0.15525515377521515,121.0326574716717,11.411542024326176,5.734327151100864
0.9854803681373596,0.0320289172232151,0.9898617267608643,0.9875319004058838,0.14877212047576904,0.039833202958106995,0.15411098301410675,0.004013837780803442,0.002139423042535782,0.010861852206289768,0.15202410519123077,0.008911347948014736,0.0011938052484765649,0.15346165001392365,0.002109850523993373,0.15538577735424042,0.012719862163066864,0.0001769579976098612,0.15428517758846283,118.4367324522871,11.512916951643621,5.772263577891722
0.9895911812782288,0.04508956894278526,0.992219865322113,0.9894200563430786,0.1538456380367279,0.039636701345443726,0.15506315231323242,0.0037391148507595062,0.0017452758038416505,0.005702335853129625,0.1520405411720276,0.008298357017338276,0.0015297121135517955,0.15463203191757202,0.00239436118863523,0.15380357205867767,0.01316569373011589,0.00034007610520347953,0.15406346321105957,120.15461846406689,11.516236111243561,5.8609614117100985
0.9900090098381042,0.03406701609492302,0.9958911538124084,0.9932445883750916,0.15642133355140686,0.027146991342306137,0.15691736340522766,0.0018302500247955322,0.0014416307676583529,0.004866870120167732,0.15273422002792358,0.008081248961389065,0.0014358734479174018,0.15657851099967957,0.0022867810912430286,0.1569349318742752,0.01715276576578617,0.00022209643793758005,0.15594905614852905,119.21753420267778,11.395579151358604,5.842831805386321
0.9914549589157104,0.01583714783191681,0.9866744875907898,0.993242621421814,0.15854808688163757,0.029055936262011528,0.15889418125152588,0.0027259341441094875,0.0018355780048295856,0.004285938572138548,0.15547393262386322,0.009407282806932926,0.0016772692324593663,0.15445780754089355,0.002373096998780966,0.15832041203975677,0.007653404492884874,0.00038985945866443217,0.15490131080150604,119.16994155321154,11.514343806738221,5.653574690726396
0.9936230182647705,0.011928856372833252,0.978709876537323,0.9855974912643433,0.15423448383808136,0.05079337954521179,0.15600481629371643,0.002753396285697818,0.001960039371624589,0.003949952777475119,0.15309275686740875,0.00805357750505209,0.0010287006152793765,0.15478207170963287,0.002579018473625183,0.15291930735111237,0.0024766805581748486,0.0003038330760318786,0.1550680547952652,121.12434916011989,11.55812366289871,5.726981986622966
0.9956042766571045,0.014952611178159714,0.9936369061470032,0.9918009638786316,0.1550903469324112,0.030041983351111412,0.15941782295703888,0.0035535406786948442,0.0020778204780071974,0.001658434746786952,0.15660487115383148,0.006149724591523409,0.000952700327616185,0.15998202562332153,0.001646661083213985,0.1600349396467209,0.003558603348210454,0.00017438265786040574,0.15905612707138062,117.55416798403311,11.575529886118094,5.517747137156881
0.9738525748252869,0.04834216833114624,0.961341917514801,0.9615786075592041,0.15080589056015015,0.042977605015039444,0.14881470799446106,0.005861717276275158,0.009819104336202145,0.012387358583509922,0.14492954313755035,0.013038158416748047,0.004678743425756693,0.14889845252037048,0.007025951985269785,0.15016517043113708,0.010600890032947063,0.0010522417724132538,0.14894451200962067,119.4329901372781,11.714456673739836,5.809900508756776
0.9974479079246521,0.008219876326620579,0.9940497279167175,0.9933598041534424,0.1543847620487213,0.023616477847099304,0.1623886525630951,0.0028761865105479956,0.00083949911640957,0.0008625763584859669,0.1609203964471817,0.005468032322824001,0.0004883136134594679,0.16218218207359314,0.0009769696043804288,0.16136972606182098,0.00136737828142941,7.942601951071993e-05,0.1621793955564499,116.0297918803888,11.586534193361716,5.379241339022088
0.9898646473884583,0.032067906111478806,0.9832930564880371,0.9851120114326477,0.1538810431957245,0.05756434425711632,0.149559885263443,0.0018512025708332658,0.005340105853974819,0.002666244748979807,0.15162904560565948,0.006250286009162664,0.0011181762674823403,0.15352493524551392,0.0009814540389925241,0.1522708684206009,0.011089005507528782,0.0004905827227048576,0.1517827957868576,122.8395101405331,11.342467031689779,6.017157335451433
0.9902153611183167,0.03467065468430519,0.9904618263244629,0.9896460175514221,0.16085873544216156,0.01883719675242901,0.1606513410806656,0.002372436225414276,0.0018287143902853131,0.005389447323977947,0.15599478781223297,0.007437504827976227,0.0025601123925298452,0.14875569939613342,0.00635083531960845,0.16290947794914246,0.008260871283710003,0.0009035633993335068,0.1568891853094101,118.12683757916093,11.50222804949599,5.592853502255343
0.9916961789131165,0.015545990318059921,0.9942781329154968,0.9947570562362671,0.1607414186000824,0.021060379222035408,0.16086509823799133,0.0009162088972516358,0.0034178788773715496,0.0021694896277040243,0.15627804398536682,0.0035710472147911787,0.0005075826193206012,0.16081878542900085,0.0010373297845944762,0.1588352620601654,0.008803126402199268,0.0002934564836323261,0.16068485379219055,118.59332565836375,11.379799096149519,5.60792750240509
0.9822836518287659,0.06181124970316887,0.9771649837493896,0.9971204400062561,0.15755976736545563,0.036347318440675735,0.14727210998535156,0.0011549998307600617,0.008092998526990414,0.0038970753084868193,0.15592296421527863,0.0021610211115330458,0.0026290779933333397,0.15447776019573212,0.009539037942886353,0.15803588926792145,0.009009835310280323,0.0007862604688853025,0.15311379730701447,120.55560914950911,11.25062242800408,5.819363111864416
0.9950071573257446,0.020166197791695595,0.9944683313369751,0.9962977766990662,0.15518197417259216,0.04288913309574127,0.15508504211902618,0.0011165427276864648,0.0021996216382831335,0.004984438419342041,0.15155723690986633,0.006528724916279316,0.0009664996177889407,0.15475159883499146,0.0012986290967091918,0.15506353974342346,0.013288242742419243,0.00024027259496506304,0.15484845638275146,121.08725275513716,11.327818135522023,5.912837212864354
