Modulus,pressure,bias,flow,Cu,Al,Fe,Zr,V,Co,Ni,Nb,Ti,Cr,Mo,Mn,W,Ta,Hf,ave:thermal_conductivity,var:Polarizability,var:gs_energy
0.9936894774436951,0.010625462979078293,0.9868561029434204,0.9885136485099792,0.16233709454536438,0.00971156544983387,0.1606605350971222,0.0007534023025073111,0.005525651387870312,0.0028322958387434483,0.1591217964887619,0.0018081828020513058,0.0003533191338647157,0.16324546933174133,0.0012636855244636536,0.16137053072452545,0.007902031764388084,0.0004499962378758937,0.1626644730567932,117.01694451976218,11.358220290385121,5.467126308254077
0.9917781352996826,0.01571822725236416,0.9788417220115662,0.9911689758300781,0.1580704301595688,0.028080906718969345,0.15731337666511536,0.0029018744826316833,0.004834741819649935,0.0025755728129297495,0.15855491161346436,0.004382910206913948,0.002254959661513567,0.15934552252292633,0.003205588087439537,0.1597115397453308,0.001855814247392118,0.00017476652283221483,0.15673701465129852,118.20143463166023,11.471634626357819,5.4872504939820805
0.9974669814109802,0.030892906710505486,0.981067419052124,0.9791110157966614,0.15058094263076782,0.06745288521051407,0.15402919054031372,0.003346834797412157,0.0012358470121398568,0.003525213338434696,0.15101686120033264,0.0034220286179333925,0.0007793389377184212,0.15356853604316711,0.0028449571691453457,0.15208204090595245,0.00212798360735178,0.0002519830595701933,0.1537354439496994,122.74757401360549,11.430023526260861,5.841737140112533
0.9830911755561829,0.03978915512561798,0.9525762796401978,0.9783746600151062,0.15772825479507446,0.027916956692934036,0.15299977362155914,0.004829270299524069,0.006693579256534576,0.007889030501246452,0.15230192244052887,0.008089359849691391,0.004480832722038031,0.1555662304162979,0.003919059410691261,0.15723751485347748,0.00935652107000351,0.0007295227260328829,0.1502622365951538,118.87677490046481,11.497530266272816,5.657815393481856
0.9932460784912109,0.015259738080203533,0.9860965013504028,0.9985783100128174,0.16097159683704376,0.03201299533247948,0.15518924593925476,0.0016403315821662545,0.0022875077556818724,0.002712815999984741,0.16078419983386993,0.002016898011788726,0.0010003551142290235,0.1612236350774765,0.0018047394696623087,0.1615002453327179,0.0007719728164374828,0.00015760259702801704,0.15592597424983978,119.86110376143188,11.297201000842335,5.534948678524574
0.9899964332580566,0.03119933232665062,0.9953078031539917,0.9944763779640198,0.15568889677524567,0.02232196368277073,0.155533567070961,0.0020710688550025225,0.0021194524597376585,0.004533624276518822,0.15225273370742798,0.006479962728917599,0.0021059641148895025,0.15558461844921112,0.003652640851214528,0.1563023328781128,0.025727566331624985,0.0003588787803892046,0.15526676177978516,119.09896084084758,11.310891676041944,5.987430904722138
0.9920844435691833,0.0294355396181345,0.9909121990203857,0.9899842739105225,0.15865567326545715,0.02301335707306862,0.15967105329036713,0.002706838073208928,0.0038831220008432865,0.004757380113005638,0.15730567276477814,0.002726784674450755,0.0004957003402523696,0.1596876084804535,0.0014453416224569082,0.15956075489521027,0.0077071357518434525,0.00011964507575612515,0.1582638919353485,118.18865754610161,11.378087975057726,5.561611893996097
0.99394291639328,0.024361133575439453,0.9968465566635132,0.9958177804946899,0.16086314618587494,0.023480664938688278,0.1613791584968567,0.0011845433618873358,0.0032372446730732918,0.0011980346171185374,0.15717357397079468,0.0016419143648818135,0.0003735180071089417,0.16134394705295563,0.0010750312358140945,0.16050875186920166,0.005383821204304695,0.00023374304873868823,0.1609227955341339,118.61815184692387,11.357006061476195,5.547488124505003
0.9867918491363525,0.047289784997701645,0.9943851828575134,0.9950040578842163,0.1590835303068161,0.03250788152217865,0.15927745401859283,0.0014263858320191503,0.002730107167735696,0.0018907854100689292,0.15763114392757416,0.0029692796524614096,0.0005682006594724953,0.15895585715770721,0.0017572203651070595,0.15457871556282043,0.00791519321501255,0.0002763675875030458,0.15843188762664795,120.23584235183662,11.379070602748458,5.709678795557685
0.9861982464790344,0.03207394853234291,0.9901903867721558,0.9811553955078125,0.15493975579738617,0.03432875871658325,0.1554371863603592,0.006292094010859728,0.004606623202562332,0.008810246363282204,0.148390531539917,0.010508701205253601,0.0023352575954049826,0.15546877682209015,0.0018179240869358182,0.15534211695194244,0.006013999227434397,0.0006784219294786453,0.1550295352935791,118.47423338041408,11.779515869388575,5.61181879764348
0.9830642342567444,0.03191116824746132,0.98689204454422,0.9969303607940674,0.15742534399032593,0.04239855334162712,0.1558893769979477,0.0009033868554979563,0.0032383031211793423,0.004178596660494804,0.15437661111354828,0.0036320118233561516,0.0017007418209686875,0.1538998782634735,0.002776058856397867,0.15805166959762573,0.005189011804759502,0.0004299514403101057,0.15591052174568176,120.80363432131125,11.321665209381429,5.728008580370715
