pressure,bias,flow,Cu,Zr,V,Nb,Ti,Hf,Al,Fe,Co,Ni,Cr,Mo,Mn,W,Ta,Hardness,Modulus
0.3872337013151166,0.676653742771119,0.522392695512833,0.22552747641525528,0.1804500152899634,0.09610694235604299,0.16898717096314694,0.0843231938672088,0.2446052011083826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5525,139.72685714285714
0.051616465872903916,0.2157885938409042,0.1284093029750215,0.2557504428979805,0.2547086377044305,0.09771087505284383,0.23746764401975265,0.09555774259240626,0.058804657732586335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.5647920443333256,0.19171681852345313,0.6848600583121086,0.0988566975272269,0.2157044356555917,0.20036752648203207,0.1316158567485712,0.0808392770654785,0.2726162065210995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.770499999999998,104.7
0.5380436055771891,0.6166387509880945,0.20552530217361265,0.18023608851031953,0.1310301630666362,0.12855068228872493,0.20484010676055212,0.10332017949475325,0.25202277987901406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.47357451196113487,0.5649647982090791,0.9667640724738544,0.2680410844052879,0.11229548723092699,0.16036623561404384,0.14463007098917435,0.07103559702402171,0.2436315247365452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.4550395305631523,0.6098184145612618,0.3744809620144607,0.09506668978429489,0.22766657006823104,0.18941069077293973,0.16483218751245965,0.05746810239994671,0.265555759462128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.2474342238196111,0.7829574777203153,0.22878703687395052,0.055796245107841015,0.1303124386746334,0.16730443511541515,0.26475761942892617,0.0873182775464351,0.29451098412674914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.34063549862260734,0.9446287231650106,0.5677086302970993,0.12175127013830339,0.19298255933878747,0.0877378453195305,0.08641260122355397,0.21243338421461175,0.29868233976521297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.3568171207586084,0.35183730444876726,0.7607025845141776,0.14584069836088628,0.14113802387645705,0.14633546745635587,0.15630758405359502,0.14788294319373257,0.26249528305897335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.26541244369858974,0.689369347688841,0.24823293553903492,0.12976575094298043,0.14240800399476133,0.17984329341490415,0.16946442774667736,0.05258325444891158,0.3259352694517652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.5621999153181856,0.29267743335586593,0.310657797198137,0.09324916080638838,0.1548777479516477,0.11943495939152361,0.2760728557087636,0.0991268286641936,0.25723844747748303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.42923459953532506,0.4646094193157756,0.2737882378561034,0.13225827304674723,0.1662194073118348,0.21276762493488977,0.13378059589028954,0.10835920162759455,0.24661489718864418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.41686070791826824,0.2984315489426095,0.7583360663480772,0.13854094993152066,0.1714663623353621,0.17499406457258668,0.15295665381961643,0.11243968872529017,0.24960228061562395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.3814282705871732,0.29841798952250576,0.34415800366489,0.0842159307519148,0.18279125551005612,0.21325780712138115,0.16177046959788316,0.07884701588176081,0.27911752113700405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.4941001005111523,0.8546501810100644,0.8637861018449172,0.06322821869805671,0.29010801744520925,0.2343873650147149,0.09808484100743263,0.06243569679685152,0.25175586103773495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.5819938923004689,0.79965470944108,0.4131957287872208,0.1239390273633854,0.21201161717430111,0.1841013764013471,0.17425065734775644,0.059702577219221085,0.24599474449398895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.3131233500174331,0.8886589749833781,0.6024125769317729,0.05002612555359225,0.25713544628909607,0.10082025547007653,0.25474228258087556,0.06450475285097612,0.2727711372553835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
0.5623086271118999,0.35673725994915406,0.6860931057735229,0.14845239252436715,0.18161087593136668,0.2068074847702351,0.10386057074602902,0.06494487064299898,0.29432380538500297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.163,120.35
