pressure,bias,flow,Al,Fe,Zr,Nb,Ta,Hf,Cu,V,Co,Ni,Ti,Cr,Mo,Mn,W,Hardness,Modulus,
0.18926170103766915,0.1508843179152639,0.07768324196608145,0.21766561415310798,0.09586559145878751,0.2387392011871827,0.20448891897697696,0.1283624544415051,0.11487821978243978,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.1673189282789469,0.7203490319803058,0.0359144360346354,0.1302096930643461,0.20774775549638103,0.16376855893329298,0.05652734528274024,0.21146465084949329,0.23028199637374638,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.19689789374220845,0.17795991744713135,0.04160396652975551,0.240571536455834,0.1287020273060384,0.163635451542523,0.06976144951948635,0.13677322369101083,0.26055631148510744,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.010687176363721962,0.23404384103629827,0.08848641716938155,0.13857923608288733,0.2080173098797522,0.192774096251981,0.19861000683616842,0.14032064681312242,0.12169870413608858,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.12893642680711426,0.7754688938347065,0.07905106519292793,0.21005734846751062,0.10429279067550636,0.20671185419060897,0.06023322024895046,0.19010683673776232,0.22859794967966104,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.1478844731393537,0.23314197217085053,0.06995350275073386,0.1479808439355217,0.06485333525969736,0.15846007692526348,0.1923612841159123,0.3156139615444077,0.1207304982191976,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.1638635719742213,0.5418841410144376,0.025788118681271732,0.18361976419221224,0.0643477756301235,0.23371402959849277,0.2267850321361424,0.20800892479702848,0.08352447364600056,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.020275730372956935,0.5148367772827728,0.024720924319165727,0.11239567115306258,0.2123744681550097,0.147423670572498,0.15450555170537267,0.19710171590467931,0.1761989225093777,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.11799456712729539,0.594828389837946,0.0020315316955688,0.14417210614826487,0.1498100492626646,0.21243221259359615,0.12790204899146573,0.2224692719767904,0.14321431102721827,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.18352101998660675,0.2628860977004861,0.016816842529839837,0.249566113851483,0.05560959404392147,0.20273762856477584,0.11051177753542792,0.1574798947688774,0.2240949912355144,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.19448078090276644,0.2001352815803077,0.11056823060964627,0.20486845647140584,0.1528046207571189,0.1593177579931017,0.09184533245862275,0.167678593269869,0.22348523904988177,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.11615706614476196,0.5031031425324188,0.09982204057413635,0.14167803909778695,0.08959430497477688,0.14494910229141955,0.2751237309553911,0.25670235107448125,0.09195247160614436,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.08363291905089398,0.7263484115977584,0.04952015362061646,0.20916270346792432,0.18469902519087375,0.14836230501584494,0.11040255530303478,0.13978587354551503,0.20758753747680725,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.1029160400682656,0.5264841132334529,0.084267555038953,0.15121070706125708,0.19789769624416575,0.13159953881058453,0.1916436951913203,0.14134260071129295,0.1863057619813795,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.1324474106696838,0.07361794197363902,0.08171104820694863,0.2187063377426083,0.10525103435092106,0.1801591782748209,0.10257014117087608,0.16122148381390392,0.23209182464686964,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.19009525376268777,0.8113389032838129,0.0011685445929029425,0.12102623739561201,0.18300274705069725,0.19657561350144143,0.20366362594665913,0.1953564633667549,0.10037531273883532,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.136789670860766,0.11123683762961745,0.050171431114309106,0.21025078605035544,0.06633158278183852,0.24328150968521897,0.21061293552913296,0.14917105997689156,0.12035212597656265,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
0.09942321014736655,0.7788148207569915,0.08477637409878269,0.15045934294821148,0.11108478784803251,0.1859621261966092,0.21649790615170614,0.23289427731128848,0.10310155954415225,0,0,0,0,0,0,0,0,0,23.476814783802524,138.76484208930017,0.169184171
