pressure,bias,flow,Zr,V,Nb,Ti,Hf,Cu,Al,Fe,Co,Ni,Cr,Mo,Mn,W,Ta,Hardness,Modulus,
0.3022386030098231,0.13520049839131365,0.9217860557407084,0.18166986059598297,0.32737261498358694,0.12545614745971573,0.09586328621595427,0.26963809074476003,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
0.3143784651731082,0.06348625596705093,0.3203496916250369,0.1750689455928777,0.17258170897416053,0.2616019793058242,0.08607078361799747,0.3046765825091402,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
0.3379810490985945,0.003498179649131461,0.8788256301301008,0.23800183256736124,0.24273268654506563,0.18246962466068609,0.06299396197813101,0.273801894248756,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
0.4999194947024387,0.647710438757231,0.6168132255773328,0.10527215729664993,0.346434452172108,0.11512134894336913,0.13064328869399197,0.302528752893881,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
0.30998226093681025,0.44882848254175634,0.4591192402671419,0.22009366666096256,0.15220318831285298,0.26680268570779286,0.09265556481233546,0.26824489450605604,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
0.26318852247547453,0.7297404815039819,0.8877667680330993,0.2293781716804845,0.1945661635645946,0.1420998136989226,0.13963999092229576,0.29431586013370264,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
0.4213398839399862,0.8323567759241347,0.8070233156845006,0.22891351696356058,0.21990364995458908,0.0963202411307314,0.12671032561076467,0.3281522663403542,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
0.2713642241027383,0.0824574597511184,0.27625241468460826,0.1823984077083981,0.27922927901210953,0.136101203926333,0.11379020062516593,0.28848090872799337,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
0.32923339006975816,0.17762634755002438,0.6927552498328889,0.16838983750526065,0.15440061452953757,0.23312291690667125,0.12097548812685306,0.3231111429316775,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
0.32766350337054395,0.03574195621223608,0.5542426991022534,0.32521501194610286,0.13688398960144033,0.17316394217099576,0.07462088296336258,0.2901161733180985,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
0.39963462961096075,0.6188293838604532,0.3591463629263124,0.295689095697528,0.11791154844651343,0.10345152405327576,0.1493279013399905,0.3336199304626923,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
0.3209658336395509,0.06430356690834571,0.9616288734448633,0.2857772725510512,0.17258580560009854,0.19181783450490286,0.09577086877187606,0.2540482185720713,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
0.240146928253122,0.6512836974834426,0.888709340715529,0.10609887652289225,0.19478457933529314,0.30925661506731594,0.10561910373828208,0.28424082533621664,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
0.422057847588034,0.8555685969144369,0.4388374344544763,0.25452383375314896,0.1733981253304316,0.1625637684654451,0.14325211265467477,0.2662621597962996,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
0.3960991436323438,0.4262654139675258,0.9454320265938746,0.19217680201111081,0.1790708410925808,0.2843990454039838,0.0910086147516437,0.25334469674068083,0,0,0,0,0,0,0,0,0,0,12.72675,120.35,0.105747819
