pressure,bias,flow,Cu,Al,Fe,Cr,Mo,Ta,Hf,Zr,V,Co,Ni,Nb,Ti,Mn,W,Hardness,Modulus,
0.010046112791128214,0.8771567754942211,0.006537755829092218,0.052659463535496435,0.2443219874773885,0.056659888238154384,0.12928275084486102,0.12049427265937991,0.23563361871867552,0.1609480185260442,0,0,0,0,0,0,0,0,25.0243,159.64157142857144,0.15675303
0.06749574251400392,0.07095127168383852,0.3597533022159657,0.1790875209140799,0.0927610617277844,0.16120172607145575,0.0645195980598897,0.22803243448022067,0.22247163739352588,0.051926021353043764,0,0,0,0,0,0,0,0,25.325273753345954,180.11314285714286,0.140607583
0.03547070490677895,0.3612714391225793,0.02660927107975397,0.11035309444286835,0.17145455958233385,0.20993139865143826,0.17920344126535448,0.11314760074135655,0.15678352598235168,0.05912637933429693,0,0,0,0,0,0,0,0,25.325273753345954,180.11314285714286,0.140607583
0.008157839291236146,0.6737554443262241,0.03894299490657427,0.17553565375799365,0.1641210520640403,0.13567238963027978,0.16240358591832113,0.1064179434318987,0.1925516513582159,0.06329772383925059,0,0,0,0,0,0,0,0,25.325273753345954,180.11314285714286,0.140607583
0.045233219001694636,0.3131312881863787,0.03521298270972528,0.16878827190830556,0.16690475883218753,0.1269283489598386,0.13336140465449334,0.1807072428286727,0.15039903579927946,0.07291093701722279,0,0,0,0,0,0,0,0,25.325273753345954,180.11314285714286,0.140607583
0.0016717630946950779,0.7367828375651428,0.019322732166985435,0.06442705495745822,0.1863251092000886,0.08432626708505654,0.2212153169904705,0.16740300218509088,0.16765100670723213,0.10865224287460315,0,0,0,0,0,0,0,0,25.0243,159.64157142857144,0.15675303
0.026049444151236556,0.7880457884544333,0.00802200043957424,0.07478752188785695,0.20472510999249535,0.09414996704176959,0.18374526062462435,0.09142142224421229,0.22786803971536443,0.12330267849367695,0,0,0,0,0,0,0,0,25.325273753345954,180.11314285714286,0.140607583
0.05399250596565619,0.6177667092482119,0.3631426101403249,0.25798977534723666,0.10769594503512744,0.20971255448641596,0.05833667819039195,0.141183408362905,0.1706516998570873,0.05442993872083556,0,0,0,0,0,0,0,0,25.325273753345954,180.11314285714286,0.140607583
0.05356490812527126,0.8041194068967409,0.029845194451580515,0.06220361811328496,0.20939594618270857,0.05682451274781556,0.15183401535794902,0.25245069487086635,0.19458895988030095,0.0727022528470747,0,0,0,0,0,0,0,0,25.0243,159.64157142857144,0.15675303
0.013353406622933162,0.04681763296868835,0.033319537163376545,0.10200286737847099,0.2196584048406616,0.09428616802091422,0.1693319759593892,0.16714506765762632,0.14428242106837352,0.10329309507456408,0,0,0,0,0,0,0,0,25.325273753345954,180.11314285714286,0.140607583
0.026183700382262254,0.3618790996302065,0.0009746826652172746,0.08723810271803559,0.16791611270502557,0.14516096441758025,0.1316964458373247,0.1384099171479335,0.1649693407606388,0.16460911641346168,0,0,0,0,0,0,0,0,25.325273753345954,180.11314285714286,0.140607583
0.049460232355902134,0.6784900394757248,0.188960269427092,0.2730649543412797,0.10127859195892124,0.10457477391852188,0.0794269939790831,0.2348501372010276,0.1565324977460219,0.05027205085514458,0,0,0,0,0,0,0,0,25.325273753345954,180.11314285714286,0.140607583
0.014058186923092242,0.27049928833032477,0.024573800482695307,0.06535789470959934,0.17271586933673694,0.09473833797792226,0.17869256582199217,0.0830519881779648,0.2103380478359817,0.19510529613980274,0,0,0,0,0,0,0,0,25.0243,159.64157142857144,0.15675303
0.04614280787352132,0.44997265405374975,0.021897936423868725,0.07552226019251274,0.17032342412636559,0.0773368932622362,0.2006668886037269,0.15729053314086833,0.15945702148419844,0.15940297919009172,0,0,0,0,0,0,0,0,25.325273753345954,180.11314285714286,0.140607583
0.0791805034274411,0.17088708581431444,0.22925554180929575,0.1768184979425049,0.08667796293782247,0.18057196302891476,0.08018748606906485,0.22357046717055132,0.19849365155957086,0.05367997129157086,0,0,0,0,0,0,0,0,25.325273753345954,180.11314285714286,0.140607583
